,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2021-05-03,7325314,1015536773,140.4,140.4,138.1,138.25,-2.35,13729
1,2021-05-04,13831267,1893528298,138.25,138.35,135.0,137.05,-1.2,16369
2,2021-05-05,9345225,1276849685,137.05,137.3,135.7,135.75,-1.3,14960
3,2021-05-06,8216084,1121548346,136.3,137.5,135.5,136.95,1.2,9073
4,2021-05-07,7168292,995811085,138.15,139.45,137.95,139.4,2.45,6072
5,2021-05-10,4491095,622306962,139.5,139.5,138.1,138.45,-0.95,6694
6,2021-05-11,26853369,3602198584,135.75,135.8,132.6,133.25,-5.2,37645
7,2021-05-12,40085754,5136665616,132.9,132.9,121.2,129.4,-3.85,47641
8,2021-05-13,28100529,3599079125,126.25,130.0,125.0,127.5,-1.9,30520
9,2021-05-14,15790431,2035292037,128.5,130.25,127.85,128.95,1.45,16237
10,2021-05-17,32505861,4111437455,125.2,128.8,124.7,126.5,-2.45,35528
11,2021-05-18,16612226,2167982126,128.35,132.3,128.0,132.3,5.8,13448
12,2021-05-19,17193723,2261698330,132.2,132.65,130.5,131.4,-0.9,17676
13,2021-05-20,9780505,1274831292,131.35,131.4,129.7,130.5,-0.9,9207
14,2021-05-21,10248024,1358135228,132.5,133.85,131.3,132.35,1.85,7006
15,2021-05-24,10375497,1367233343,131.55,132.65,131.15,132.15,-0.2,8922
16,2021-05-25,10326420,1368221026,132.9,134.65,132.9,134.4,2.25,8064
17,2021-05-26,5246780,705851187,134.85,135.15,133.95,134.5,0.1,5468
18,2021-05-27,5858001,779436245,133.5,133.7,132.35,133.55,-0.95,6872
19,2021-05-28,9754500,1320088577,134.9,135.9,134.3,135.8,2.25,7907
20,2021-05-31,10607435,1451843105,135.8,137.55,135.8,137.1,1.3,7985
21,2021-06-01,5710574,786076633,137.2,138.1,137.2,137.7,0.6,5200
22,2021-06-02,5118006,702947369,137.8,138.0,136.65,137.7,0.0,6240
23,2021-06-03,5137777,708745556,137.95,138.45,137.5,137.6,-0.1,5273
24,2021-06-04,3268847,446605239,137.0,137.0,136.3,136.95,-0.65,5297
25,2021-06-07,10994102,1502787769,137.2,137.4,134.65,137.3,0.35,13872
26,2021-06-08,3021521,413571142,137.3,137.5,136.5,136.5,-0.8,4359
27,2021-06-09,6289449,851835109,136.3,136.3,135.05,135.5,-1.0,8909
28,2021-06-10,6953916,953274453,136.0,137.85,135.8,137.6,2.1,7526
29,2021-06-11,3427869,473613244,138.1,138.5,137.85,138.1,0.5,4811
30,2021-06-15,4126481,572346206,138.6,139.0,138.4,138.85,0.75,6371
31,2021-06-16,7330366,1016261767,138.7,138.95,138.15,138.7,-0.15,7048
32,2021-06-17,3283653,452105710,137.8,138.3,137.15,138.3,-0.4,4057
33,2021-06-18,2249578,310815371,138.85,138.85,137.95,138.0,-0.3,3350
34,2021-06-21,16678832,2255922407,136.9,137.0,134.6,134.7,-3.3,25994
35,2021-06-22,6078865,820657527,135.6,136.05,134.5,134.85,0.15,9047
36,2021-06-23,6517135,887399669,135.0,137.15,134.8,137.05,2.2,5282
37,2021-06-24,6289676,861039047,137.05,137.25,136.45,136.7,-0.35,4263
38,2021-06-25,6623437,911180118,137.45,137.95,136.7,136.95,0.25,6284
39,2021-06-28,4090101,560920233,137.0,137.5,136.5,137.2,0.25,4724
40,2021-06-29,9131032,1259391696,137.9,138.7,137.3,137.6,0.4,5881
41,2021-06-30,9756709,1355932363,138.1,139.35,138.05,138.95,1.35,8757
42,2021-07-01,4680733,649025587,139.0,139.2,138.05,138.3,-0.65,5327
43,2021-07-02,4826430,667110798,138.3,138.5,137.9,138.3,0.0,4137
44,2021-07-05,7881941,1100359360,138.75,140.0,138.75,139.6,1.3,8455
45,2021-07-06,6551731,915548456,139.85,140.05,139.45,139.75,0.15,6171
46,2021-07-07,6776193,942786963,139.6,139.65,138.6,139.0,-0.75,5825
47,2021-07-08,4085141,567119389,139.15,139.5,138.2,138.85,-0.15,4262
48,2021-07-09,7176503,986007526,137.9,137.9,136.95,137.75,-1.1,11004
49,2021-07-12,13736653,1913348729,139.05,140.05,138.55,139.0,1.25,12106
50,2021-07-13,14007902,1968576900,140.0,141.0,139.95,140.15,1.15,12312
51,2021-07-14,9604503,1350159685,140.2,141.1,140.15,140.5,0.35,8329
52,2021-07-15,12338667,1746117456,140.95,141.85,140.8,141.8,1.3,13045
53,2021-07-16,9507234,1327200973,139.8,140.0,139.05,139.9,-1.9,10629
54,2021-07-19,10856715,1500042445,139.0,139.2,137.55,138.3,-1.6,14186
55,2021-07-20,8443543,1160744460,137.8,138.3,137.05,137.2,-1.1,14659
56,2021-07-21,13271874,1813074896,138.0,138.0,136.1,136.7,0.0,20448
57,2021-07-22,6243365,862215168,137.8,138.55,137.25,137.65,0.95,4741
58,2021-07-23,3242961,446860983,138.05,138.3,137.35,137.65,0.0,4939
59,2021-07-26,12149739,1661811908,137.75,138.05,136.25,136.45,-1.2,17915
60,2021-07-27,10677894,1457154226,136.5,137.05,136.05,136.4,-0.05,12162
61,2021-07-28,31583968,4245231662,136.1,136.1,133.75,134.25,-2.15,38726
62,2021-07-29,10889344,1480352131,135.85,136.6,135.25,136.5,2.25,7383
63,2021-07-30,4040055,550974846,136.6,136.6,136.0,136.05,-0.45,4798
64,2021-08-02,7376244,1011342122,137.0,138.0,136.05,137.9,1.85,5273
65,2021-08-03,6224382,859255808,137.95,138.45,137.7,138.45,0.55,5115
66,2021-08-04,5642671,784584423,138.65,139.3,138.45,139.25,0.8,5413
67,2021-08-05,5840987,813087525,139.25,139.45,138.85,139.0,-0.25,6400
68,2021-08-06,4031604,558390394,138.9,139.0,137.8,138.8,-0.2,5590
69,2021-08-09,5186503,714762861,138.2,138.55,136.7,138.4,-0.4,5861
70,2021-08-10,2676946,369136949,138.45,138.5,137.5,137.65,-0.75,6027
71,2021-08-11,3867154,529729666,137.35,137.65,136.6,137.2,-0.45,7131
72,2021-08-12,2376688,325349900,137.2,137.25,136.5,136.95,-0.25,4386
73,2021-08-13,7816273,1061673383,136.6,136.85,135.55,135.65,-1.3,16810
74,2021-08-16,11135323,1506240702,135.5,135.75,134.9,135.35,-0.3,14444
75,2021-08-17,13757654,1854533694,135.4,135.5,134.3,134.35,-1.0,20363
