,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2024-02-01,4093052,319881334,78.4,78.5,77.95,78.45,0.0,5847
1,2024-02-02,3019733,238127662,78.85,79.0,78.65,78.95,0.5,3209
2,2024-02-05,3929053,311501681,78.95,79.55,78.85,79.55,0.6,8375
3,2024-02-15,13178500,1092400156,82.8,83.9,82.45,82.95,3.4,16722
4,2024-02-16,5233147,432667045,82.95,83.05,82.45,82.5,-0.45,7874
5,2024-02-19,4017881,330730910,82.45,82.45,82.05,82.4,-0.1,6445
6,2024-02-20,3655803,302359140,82.3,82.95,82.2,82.7,0.3,5577
7,2024-02-21,2269721,187184242,82.6,82.65,82.35,82.4,-0.3,4839
8,2024-02-22,4862399,404316450,83.0,83.4,82.8,83.35,0.95,6121
9,2024-02-23,5251470,440764484,83.8,84.1,83.7,83.9,0.55,6932
10,2024-02-26,4540068,381126999,83.9,84.2,83.55,84.15,0.25,7514
11,2024-02-27,4005784,335479225,84.15,84.25,83.3,83.85,-0.3,7109
12,2024-02-29,3787694,316985195,83.65,84.1,83.45,83.95,0.1,5794
13,2024-03-01,4276138,358485737,84.0,84.2,83.65,83.7,-0.25,6481
14,2024-03-04,6353974,543164329,84.85,85.95,84.85,85.85,2.15,8399
15,2024-03-05,5428272,469643597,86.2,86.8,86.05,86.65,0.8,9236
16,2024-03-06,7904785,684679266,85.9,87.2,85.65,87.15,0.5,8574
17,2024-03-07,7030572,624177688,88.1,89.3,88.05,88.95,1.8,9046
18,2024-03-08,10853855,982168659,91.0,91.2,89.3,90.1,1.15,12361
19,2024-03-11,6332525,566583927,89.7,90.0,89.15,89.3,-0.8,11973
20,2024-03-12,4016333,360067730,89.15,90.2,88.95,90.2,0.9,5750
21,2024-03-13,5253205,476903956,90.7,91.3,90.55,90.8,0.6,6234
22,2024-03-14,3565540,322887284,90.8,90.95,90.05,90.55,-0.25,5354
23,2024-03-15,3870374,348288673,90.0,90.35,89.75,89.8,-0.75,10025
24,2024-03-18,5862179,527094846,89.7,90.3,89.55,90.3,0.5,6633
25,2024-03-19,4041373,363514813,89.85,90.4,89.5,90.3,0.0,4096
26,2024-03-20,4320679,389513390,90.3,90.7,89.6,89.9,-0.4,6742
27,2024-03-21,5537684,507024483,90.85,92.05,90.85,92.0,2.1,7093
28,2024-03-22,4618507,424494317,92.0,92.4,91.5,92.05,0.05,5343
29,2024-03-25,4176903,384852017,92.25,92.45,91.75,92.1,0.05,7486
